dac_id,reg_channel,customer_lifecycle_finished_flag,baby_residual_lifecycle,baby_age_last_order,prestige,frisomum,gold,stage_f0,stage_f1,stage_f2,stage_f3,stage_f4,last_repurchase_interval
c6cd5bd2-d683-11e8-8187-022fee61b306,线下,Y,1290,5,0,0,1,0,1,0,0,0,7.0
0d9b237d-d684-11e8-8187-022fee61b306,线下,Y,1098,11,0,0,1,0,0,1,0,0,
e83b7bd3-d683-11e8-8187-022fee61b306,CRM系统,Y,1362,3,1,0,0,0,1,0,0,0,
844da82c-d684-11e8-8187-022fee61b306,线下,Y,1236,7,0,0,1,0,1,0,0,0,
14907c9f-d684-11e8-8187-022fee61b306,品牌微信,Y,1566,-16,0,0,1,0,1,0,0,0,0.0
80e9e0f6-d683-11e8-8187-022fee61b306,CRM系统,Y,1300,5,1,0,0,0,1,0,0,0,
38462b24-d684-11e8-8187-022fee61b306,线下,Y,1340,3,0,0,1,0,1,0,0,0,
da7dfc56-d683-11e8-8187-022fee61b306,线下,Y,1271,6,0,0,1,0,0,1,0,0,
565c321e-d684-11e8-8187-022fee61b306,线下,Y,1388,2,0,0,1,0,1,0,0,0,
413d32eb-d684-11e8-8187-022fee61b306,CRM系统,Y,1183,9,1,0,0,0,0,0,1,0,
4b068061-d684-11e8-8187-022fee61b306,品牌微信,Y,1191,8,0,0,1,0,0,1,0,0,0.0
73ed32e9-d684-11e8-8187-022fee61b306,品牌微信,Y,1109,11,1,0,0,0,0,0,1,0,0.0
9741d38d-d684-11e8-8187-022fee61b306,线下,Y,1199,8,0,0,1,0,0,1,0,0,
71aff8b5-d683-11e8-8187-022fee61b306,线下,Y,1211,35,0,0,1,0,0,1,0,0,840.0
cd6b3dc2-d683-11e8-8187-022fee61b306,品牌微信,Y,1154,10,1,0,0,0,1,0,0,0,0.0
99b3ae81-d683-11e8-8187-022fee61b306,线下,Y,1203,8,0,0,1,0,0,1,0,0,
2c10d983-d684-11e8-8187-022fee61b306,线下,Y,1327,4,0,0,1,0,0,1,0,0,
8eeb3efa-d683-11e8-8187-022fee61b306,天猫旗舰店,Y,1208,8,0,0,1,0,0,1,0,0,0.0
9421537d-d684-11e8-8187-022fee61b306,品牌微信,Y,1005,15,1,0,0,0,1,0,0,0,
e7aa00bf-d683-11e8-8187-022fee61b306,品牌微信,Y,1311,14,0,0,1,0,0,1,0,0,299.0
88e0cddc-d683-11e8-8187-022fee61b306,线下,Y,1576,-3,0,0,1,0,1,0,0,0,0.0
04941dd7-d684-11e8-8187-022fee61b306,CRM系统,Y,1162,9,1,0,0,0,0,1,0,0,
6d2b506b-d684-11e8-8187-022fee61b306,京东商城,Y,1205,8,0,0,1,0,0,1,0,0,2.0
ae69eced-d683-11e8-8187-022fee61b306,线下,Y,1119,25,0,0,1,0,0,1,0,0,443.0
adc36597-d683-11e8-8187-022fee61b306,线下,Y,1490,0,0,0,1,0,1,0,0,0,5.0
c3356481-d683-11e8-8187-022fee61b306,线下,Y,1485,0,0,0,1,0,1,0,0,0,
6d9d78c4-d683-11e8-8187-022fee61b306,线下,Y,1262,23,0,0,1,0,0,1,0,0,513.0
f74ff2ac-d683-11e8-8187-022fee61b306,线下,Y,1337,4,0,0,1,0,1,0,0,0,0.0
9682c9cc-d683-11e8-8187-022fee61b306,线下,Y,1403,1,0,0,1,0,1,0,0,0,
6b0cf12c-d684-11e8-8187-022fee61b306,线下,Y,1190,8,0,0,1,0,0,1,0,0,
